system:index,classification,fireBinary,.geo
53_0,0.12663156,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.79488087794715,20.330926882479247]}"
54_0,0.19469568,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.89207401740704,18.897215689024492]}"
55_0,0.15560097,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.8110505530613,19.358051429777806]}"
56_0,0.2755475,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.25841156455283,19.34727164636837]}"
57_0,0.24545395,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.14287907045136,17.924340236323047]}"
58_0,0.92421144,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.11053972022304,19.457764426315073]}"
59_0,0.5178596,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.37194946790183,19.10742146550846]}"
60_0,0.04328542,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.66300361995656,19.261033379092897]}"
61_0,0.16649725,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.88398917984996,18.39056586878108]}"
62_0,0.48064336,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.02160650709521,17.476979224831528]}"
63_0,0.10812442,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.31787546207968,18.471414244351838]}"
64_0,0.4363705,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.88937907155467,18.97536911874289]}"
65_0,0.2639989,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.4228032615467,20.037177784572165]}"
66_0,0.1522336,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.4337581337311,18.293547818096172]}"
67_0,0.10539235,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.52825632733862,19.600596556490075]}"
68_0,0.74170727,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.2183375543174,18.307022547357967]}"
69_0,0.36171982,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.42010831569434,19.018488252380628]}"
70_0,0.2197322,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.82183033647074,20.047957567981598]}"
71_0,0.49805054,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.98909206809195,18.290852872243814]}"
72_0,0.19779213,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.63318412680565,19.177490057669782]}"
73_0,0.7958784,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.80853069598392,17.856966590014085]}"
74_0,0.48713496,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.46340253810705,17.75725359347682]}"
75_0,0.62633663,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.6468339448424,17.84349186075229]}"
76_0,0.15753248,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.76271661649382,16.916430487540946]}"
77_0,0.28830087,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.38794405424102,19.55747742285234]}"
78_0,0.115405396,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.47418232151648,18.929555039252794]}"
79_0,0.19649394,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.12079423730756,18.978064064595248]}"
80_0,0.065284334,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.87590434229288,18.643890778902787]}"
81_0,0.12854572,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.31787546207968,18.864876338796186]}"
82_0,0.25462663,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.88111914522263,18.84601171782968]}"
83_0,0.23463616,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.05359567977358,19.71108933643678]}"
84_0,0.099996075,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.23450722943154,19.164015328407988]}"
85_0,0.2687788,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.74115704967495,16.725089332023487]}"
86_0,0.29581144,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.13192419826694,17.913560452913615]}"
87_0,0.18359552,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.84069495743725,19.554782476999982]}"
88_0,0.83603,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.81392058768864,17.62250630085889]}"
89_0,0.35081053,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.04047112806172,19.045437710904213]}"
90_0,0.047147647,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.92171842178298,16.299287887350836]}"
91_0,0.54008496,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.64144405313769,18.517228323841934]}"
92_0,0.4457513,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.03777618220937,19.506273451657528]}"
93_0,0.19565912,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.9161534413033,18.897215689024492]}"
94_0,0.2904908,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.97022744712544,17.662930488644268]}"
95_0,0.5511809,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.50652167174479,19.851226520759422]}"
96_0,0.11803427,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.03473105880707,19.8593113583165]}"
97_0,0.87377423,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.84912997254428,19.023878144085344]}"
98_0,0.09801849,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.54442600245278,19.608681394047153]}"
99_0,0.10913705,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.51208665222448,19.697614607174984]}"
100_0,0.5430733,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.41506860153957,19.33379691710658]}"
101_0,0.38929713,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.22894224895185,16.57147741843905]}"
102_0,0.23664495,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.28536102307642,19.91590522121603]}"
103_0,0.35164204,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.94040795397451,20.449504499983025]}"
104_0,0.19064589,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.92980325934005,16.962244567031043]}"
105_0,0.13707758,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.20451264750565,18.121071283545223]}"
106_0,0.19892323,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.52808123856366,18.134546012807018]}"
107_0,0.11652465,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.32326535378441,18.528008107251367]}"
108_0,0.21370353,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.44184297128818,20.050652513833956]}"
109_0,0.22340599,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.71133755652404,17.932425073880125]}"
110_0,0.8447416,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.70073286188958,18.568432295036747]}"
111_0,0.4911511,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.25606679625041,18.436379948271178]}"
112_0,0.49673226,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.63048918095328,18.14802074206881]}"
113_0,0.31203204,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.06455055195798,17.140110993286708]}"
114_0,0.07219648,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.07802528121978,18.78672290907779]}"
115_0,0.30482548,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.2585866533278,16.935295108507457]}"
116_0,0.49328527,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.73863719259757,18.22886911763957]}"
117_0,0.3309203,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.27223647136456,18.00249366604145]}"
118_0,0.63219523,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.54712094830514,17.619811355006533]}"
119_0,0.27732038,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.42028340446932,19.616766231604227]}"
120_0,0.53409505,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.07802528121978,17.080822184534817]}"
121_0,0.21635269,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.47418232151648,17.781508106148046]}"
122_0,0.21897648,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.39872383765045,17.60633662574474]}"
123_0,0.48540285,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.24259206698862,19.188269841079215]}"
124_0,0.11988063,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.77619134575562,15.660585720341855]}"
125_0,0.2939575,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.21546751969007,16.878701245607925]}"
126_0,0.07350148,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.10766968559572,18.78402796322543]}"
127_0,0.28318518,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.91884838715565,19.624851069161302]}"
128_0,0.6373079,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.00795668905846,19.74342868666508]}"
129_0,0.3432017,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.40159387227777,18.33666695173391]}"
130_0,0.46123946,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.03777618220937,17.751863701772102]}"
131_0,0.24020745,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.67612817166841,19.414645292677335]}"
132_0,0.2536007,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.84625993791694,17.73299908080559]}"
133_0,0.25305712,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[101.08845488707927,18.78941785493015]}"
134_0,0.28143665,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.78931589746746,19.25564348738818]}"
135_0,0.25149107,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.27458123966697,19.716479228141495]}"
136_0,0.63434476,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.28032130892164,17.291027961018788]}"
137_0,0.6197882,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.08072022707213,16.560697635029616]}"
138_0,0.7813439,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.47418232151648,19.864701250021216]}"
139_0,0.32654947,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.22911733772683,19.188269841079215]}"
140_0,0.10390629,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.95136282615893,15.250953950783353]}"
141_0,0.8033209,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.87824911059529,18.5846019701509]}"
142_0,0.13400078,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.05933574902824,17.856966590014085]}"
143_0,0.38599655,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.80331589305418,18.670840237426372]}"
144_0,0.15044303,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.07281047829004,18.819062259306094]}"
145_0,0.1487503,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.57946029853345,18.71665431691647]}"
146_0,0.06472157,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.81392058768864,19.301457566878277]}"
147_0,0.4384044,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.29110109233108,19.120896194770253]}"
148_0,0.24934675,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.0913249217066,19.826972008088195]}"
149_0,0.21320224,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.7061227535943,17.892000886094745]}"
150_0,0.7847549,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.73020217749055,18.258513522015512]}"
151_0,0.7053182,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.86494947010847,17.8300171314905]}"
152_0,0.7242735,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.88685921447728,17.932425073880125]}"
153_0,0.39893785,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.45783755762736,18.094121825021638]}"
154_0,0.5056645,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.56024550001699,18.26390341372023]}"
155_0,0.5342496,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.65743863947687,20.258163344465565]}"
156_0,0.6426754,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.997351994424,18.032138070417393]}"
157_0,0.34812585,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.37446932497922,16.929905216802737]}"
158_0,0.83610886,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.92441336763534,18.385175977076365]}"
159_0,0.08731325,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.87859928814524,19.31223735028771]}"
