system:index,classification,fireBinary,year,.geo
0_00000000000000000133,0.3265254601366157,1,2016.0,"{""type"":""Point"",""coordinates"":[98.2968026457505,17.626291372145147]}"
0_0000000000000000013e,0.18221908375416626,1,2016.0,"{""type"":""Point"",""coordinates"":[99.46910477180246,18.86597051511469]}"
0_000000000000000001b5,0.6534006732915437,1,2016.0,"{""type"":""Point"",""coordinates"":[99.814056370196,17.833804557869353]}"
0_000000000000000001fa,0.7919151935632275,1,2016.0,"{""type"":""Point"",""coordinates"":[100.29914859649719,18.4536418998036]}"
0_00000000000000000027,0.5475876880823042,0,2016.0,"{""type"":""Point"",""coordinates"":[97.9060337840328,17.85805760849905]}"
0_000000000000000001d6,0.760195347147432,1,2016.0,"{""type"":""Point"",""coordinates"":[100.71955710291714,18.17336956219031]}"
0_0000000000000000000d,0.2218956993112234,0,2016.0,"{""type"":""Point"",""coordinates"":[100.30992624374338,19.846928155862244]}"
0_0000000000000000009c,0.24500230933137418,0,2016.0,"{""type"":""Point"",""coordinates"":[98.56629733611759,18.75817174714763]}"
0_000000000000000001ed,0.2954870753010255,1,2016.0,"{""type"":""Point"",""coordinates"":[98.00574820178998,18.092517141889232]}"
0_00000000000000000032,0.22376268240073915,0,2016.0,"{""type"":""Point"",""coordinates"":[98.30758029299668,17.399916188964852]}"
0_00000000000000000030,0.20993603265387925,0,2016.0,"{""type"":""Point"",""coordinates"":[98.24559878835376,18.620728875377267]}"
0_00000000000000000059,0.08950788372154032,0,2016.0,"{""type"":""Point"",""coordinates"":[99.33435519706838,18.825544304964144]}"
0_000000000000000000cc,0.6168622443496422,0,2016.0,"{""type"":""Point"",""coordinates"":[97.98688174523284,18.42669109303657]}"
0_00000000000000000090,0.18109995250616087,0,2016.0,"{""type"":""Point"",""coordinates"":[98.57707498336377,18.839019708347656]}"
0_000000000000000001c2,0.5566529935652172,1,2016.0,"{""type"":""Point"",""coordinates"":[99.85448258034651,18.06557079422326]}"
0_00000000000000000233,0.5096481892002802,1,2016.0,"{""type"":""Point"",""coordinates"":[99.35591495066178,19.537011714445644]}"
0_000000000000000001a2,0.7301006739176324,1,2016.0,"{""type"":""Point"",""coordinates"":[98.8977735311276,16.106344350663367]}"
0_00000000000000000013,0.577879289306661,0,2016.0,"{""type"":""Point"",""coordinates"":[99.73051511195969,17.809551507239664]}"
0_00000000000000000099,0.6399180422271128,0,2016.0,"{""type"":""Point"",""coordinates"":[99.06216720966499,17.82302245152212]}"
0_000000000000000001c8,0.8287612040203776,1,2016.0,"{""type"":""Point"",""coordinates"":[98.79806357247149,16.718097342387715]}"
0_00000000000000000124,0.8643269737757345,0,2016.0,"{""type"":""Point"",""coordinates"":[97.65271225318656,18.34045207866293]}"
0_000000000000000001ae,0.7967485618738911,1,2016.0,"{""type"":""Point"",""coordinates"":[99.04330075310787,19.43460399965221]}"
0_00000000000000000220,0.2723520514693215,1,2016.0,"{""type"":""Point"",""coordinates"":[100.85430667765121,18.639590872833345]}"
0_0000000000000000022a,0.3359564256332756,1,2016.0,"{""type"":""Point"",""coordinates"":[99.22656088820237,17.372969841298882]}"
0_00000000000000000230,0.7714504510663428,1,2016.0,"{""type"":""Point"",""coordinates"":[98.34800650314722,17.208576162761496]}"
0_0000000000000000023d,0.7488234435482016,1,2016.0,"{""type"":""Point"",""coordinates"":[99.88412668414982,18.2137913132398]}"
0_00000000000000000014,0.7873455622693024,0,2016.0,"{""type"":""Point"",""coordinates"":[98.75494406528468,18.806677848407016]}"
0_00000000000000000048,0.37472800785050364,0,2016.0,"{""type"":""Point"",""coordinates"":[100.71686380588085,18.968378229908122]}"
0_00000000000000000137,0.1843224987174834,1,2016.0,"{""type"":""Point"",""coordinates"":[100.66565994848412,18.836321952210326]}"
0_00000000000000000138,0.6416268986272575,1,2016.0,"{""type"":""Point"",""coordinates"":[99.79249661660256,17.960465323292485]}"
0_00000000000000000192,0.5673378516259,1,2016.0,"{""type"":""Point"",""coordinates"":[99.79249661660256,19.095038995331254]}"
0_000000000000000001a9,0.8236644100071805,1,2016.0,"{""type"":""Point"",""coordinates"":[99.45562936841894,18.803984551370736]}"
0_0000000000000000023a,0.809779379489512,1,2016.0,"{""type"":""Point"",""coordinates"":[100.68182864890392,18.291945977403543]}"
0_00000000000000000056,0.15602065684992567,0,2016.0,"{""type"":""Point"",""coordinates"":[98.16744412419003,17.817635857449556]}"
0_0000000000000000007a,0.24337463164463333,0,2016.0,"{""type"":""Point"",""coordinates"":[100.44467581847746,18.232657769796926]}"
0_00000000000000000148,0.690273404171821,1,2016.0,"{""type"":""Point"",""coordinates"":[99.61463199378272,20.12181389940297]}"
0_000000000000000001f4,0.7268447924186174,1,2016.0,"{""type"":""Point"",""coordinates"":[98.16744412419003,19.29716112788185]}"
